iter	RMSE
0	8.823799163
1	8.312267468
2	7.84402701
3	7.416272303
4	7.019972021
5	6.659963228
6	6.328862619
7	6.022538178
8	5.747839227
9	5.495549913
10	5.268765813
11	5.063056185
12	4.880917207
13	4.714367416
14	4.564001594
15	4.425384393
16	4.302452497
17	4.194502244
18	4.100497911
19	4.016537117
20	3.941616114
21	3.872955081
22	3.813886544
23	3.760264874
24	3.715148299
25	3.672128622
26	3.635770942
27	3.602524323
28	3.573795859
29	3.548017794
30	3.524469999
31	3.503957155
32	3.487542527
33	3.471247282
34	3.457809718
35	3.444089925
36	3.433376657
37	3.423434935
38	3.413883245
39	3.40553297
40	3.398081228
41	3.389912752
42	3.382436551
43	3.377482581
44	3.372182915
45	3.366378552
46	3.361914174
47	3.358221491
48	3.354341213
49	3.350768341
50	3.347789482
51	3.345284183
52	3.342263585
53	3.338586389
54	3.336580102
55	3.334303546
56	3.332375148
57	3.329211899
58	3.326108636
59	3.322423209
60	3.319393064
61	3.317508229
62	3.314597695
63	3.311427789
64	3.309090576
65	3.307475914
66	3.304901036
67	3.302343706
68	3.299681687
69	3.297661601
70	3.295585613
71	3.293525489
72	3.29177241
73	3.290185941
74	3.288014854
75	3.285318253
76	3.284486275
77	3.283044418
78	3.280546754
79	3.279122256
80	3.277497417
81	3.275968516
82	3.274436556
83	3.272545784
84	3.271372414
85	3.269610192
86	3.268723886
87	3.266457977
88	3.264764727
89	3.263385054
90	3.261082493
91	3.259827174
92	3.25845671
93	3.256795077
94	3.254672367
95	3.253544845
96	3.252951291
97	3.251002904
98	3.249794036
99	3.248911134
100	3.247022912
101	3.246262752
102	3.245013992
103	3.243504015
104	3.241901918
105	3.240079254
106	3.238819287
107	3.237949808
108	3.236153848
109	3.23455054
110	3.232860165
111	3.23223122
112	3.231043213
113	3.230245714
114	3.229316818
115	3.227766698
116	3.226632263
117	3.224809881
118	3.224160097
119	3.223621769
120	3.222049228
121	3.220869064
122	3.219889911
123	3.218512355
124	3.217153739
125	3.215995307
126	3.214698286
127	3.21340392
128	3.212489453
129	3.211383772
130	3.21057951
