iter	Passed	Remaining
0	10	10842
1	21	10651
2	31	10483
3	42	10604
4	53	10573
5	63	10458
6	74	10567
7	83	10399
8	93	10241
9	102	10146
10	111	10060
11	121	9973
12	130	9885
13	139	9822
14	148	9777
15	158	9739
16	167	9692
17	177	9677
18	186	9646
19	196	9629
20	205	9595
21	214	9553
22	224	9526
23	233	9483
24	242	9456
25	252	9443
26	261	9425
27	270	9396
28	279	9372
29	289	9352
30	298	9329
31	308	9340
32	319	9354
33	329	9365
34	338	9336
35	346	9266
36	353	9202
37	360	9130
38	368	9072
39	375	9009
40	382	8953
41	389	8894
42	397	8846
43	404	8792
44	411	8741
45	419	8697
46	426	8654
47	434	8616
48	442	8578
49	449	8541
50	458	8533
51	466	8509
52	474	8482
53	482	8456
54	490	8431
55	498	8399
56	506	8386
57	514	8356
58	522	8327
59	530	8304
60	538	8285
61	545	8257
62	553	8230
63	561	8210
64	569	8189
65	577	8170
66	585	8158
67	593	8140
68	602	8129
69	610	8111
70	618	8093
71	626	8074
72	634	8056
73	642	8042
74	650	8026
75	659	8013
76	667	8003
77	675	7988
78	683	7973
79	691	7952
80	699	7931
81	706	7905
82	714	7889
83	721	7870
84	729	7857
85	737	7834
86	744	7808
87	751	7788
88	759	7774
89	767	7756
90	774	7740
91	782	7718
92	789	7700
93	797	7683
94	804	7667
95	811	7646
96	819	7626
97	827	7611
98	834	7593
99	841	7570
100	849	7560
101	858	7557
102	866	7543
103	873	7524
104	880	7509
105	888	7497
106	896	7478
107	903	7461
108	910	7444
109	918	7433
110	926	7421
111	933	7402
112	940	7386
113	947	7367
114	955	7353
115	962	7338
116	970	7325
117	978	7312
118	985	7299
119	993	7285
120	1001	7272
121	1008	7258
122	1016	7245
123	1023	7231
124	1031	7219
125	1038	7204
126	1046	7196
127	1054	7181
128	1061	7165
129	1068	7153
130	1076	7138
131	1083	7125
132	1091	7113
133	1098	7098
134	1105	7084
135	1113	7077
136	1121	7063
137	1128	7049
138	1135	7036
139	1143	7026
140	1151	7014
141	1158	7000
142	1166	6988
143	1173	6975
144	1181	6965
145	1188	6951
146	1195	6938
147	1203	6927
148	1210	6916
149	1218	6903
150	1225	6890
151	1232	6878
152	1240	6867
153	1248	6856
154	1255	6843
155	1262	6828
156	1269	6818
157	1277	6807
158	1284	6793
159	1291	6779
160	1299	6769
161	1306	6758
162	1313	6747
163	1320	6733
164	1328	6720
165	1335	6708
166	1342	6697
167	1349	6685
168	1356	6672
169	1365	6665
170	1372	6655
171	1380	6643
172	1386	6630
173	1395	6622
174	1402	6613
175	1410	6602
176	1417	6591
177	1425	6582
178	1433	6572
179	1440	6561
180	1447	6549
181	1454	6536
182	1461	6526
183	1468	6514
184	1477	6507
185	1485	6500
186	1493	6492
187	1501	6486
188	1509	6476
189	1516	6466
190	1524	6456
191	1532	6447
192	1539	6438
193	1549	6437
194	1557	6428
195	1564	6418
196	1571	6406
197	1578	6395
198	1586	6386
199	1593	6375
200	1601	6365
201	1608	6354
202	1615	6343
203	1623	6333
204	1630	6324
205	1638	6316
206	1646	6307
207	1654	6298
208	1661	6286
209	1668	6275
210	1675	6265
211	1683	6256
212	1690	6246
213	1697	6236
214	1705	6227
215	1712	6216
216	1719	6205
217	1727	6196
218	1734	6186
219	1742	6177
220	1749	6167
221	1757	6159
222	1764	6146
223	1771	6137
224	1779	6128
225	1786	6118
226	1794	6109
227	1801	6099
228	1808	6090
229	1816	6080
230	1823	6069
231	1830	6059
232	1838	6050
233	1845	6040
234	1852	6030
235	1859	6021
236	1866	6010
237	1875	6004
238	1884	5998
239	1891	5990
240	1899	5983
241	1907	5975
242	1914	5964
243	1921	5954
244	1928	5944
245	1936	5935
246	1944	5929
247	1952	5919
248	1959	5909
249	1966	5900
250	1974	5891
251	1981	5881
252	1989	5873
253	1996	5864
254	2005	5858
255	2013	5852
256	2021	5843
257	2030	5840
258	2039	5834
259	2047	5826
260	2055	5819
261	2063	5812
262	2071	5805
263	2078	5795
264	2086	5787
265	2094	5780
266	2102	5772
267	2110	5763
268	2118	5756
269	2126	5749
270	2134	5741
271	2142	5734
272	2150	5726
273	2158	5718
274	2165	5709
275	2173	5702
276	2181	5694
277	2189	5686
278	2197	5679
279	2205	5671
280	2213	5664
281	2221	5656
282	2229	5648
283	2237	5639
284	2244	5631
285	2252	5624
286	2260	5615
287	2267	5605
288	2275	5597
289	2282	5588
290	2291	5581
291	2298	5572
292	2305	5563
293	2312	5554
294	2320	5545
295	2327	5536
296	2335	5527
297	2342	5519
298	2350	5511
299	2358	5502
300	2366	5494
301	2373	5485
302	2381	5477
303	2388	5468
304	2396	5461
305	2404	5453
306	2412	5446
307	2420	5439
308	2429	5432
309	2437	5424
310	2445	5417
311	2453	5409
312	2460	5401
313	2468	5393
314	2478	5389
315	2486	5382
316	2494	5374
317	2502	5367
318	2511	5362
319	2519	5353
320	2527	5346
321	2535	5339
322	2544	5332
323	2552	5324
324	2559	5316
325	2567	5308
326	2575	5300
327	2583	5292
328	2590	5284
329	2599	5278
330	2607	5270
331	2615	5261
332	2623	5253
333	2630	5245
334	2638	5238
335	2646	5229
336	2653	5220
337	2661	5213
338	2670	5206
339	2677	5198
340	2686	5191
341	2695	5185
342	2703	5177
343	2711	5169
344	2718	5160
345	2725	5152
346	2733	5144
347	2741	5136
348	2749	5128
349	2756	5119
350	2765	5112
351	2773	5105
352	2780	5096
353	2788	5089
354	2797	5082
355	2805	5074
356	2813	5066
357	2821	5059
358	2830	5053
359	2837	5045
360	2846	5037
361	2853	5029
362	2861	5021
363	2869	5014
364	2877	5006
365	2885	4998
366	2893	4990
367	2901	4983
368	2910	4977
369	2920	4972
370	2928	4964
371	2936	4957
372	2945	4951
373	2954	4944
374	2962	4937
375	2970	4930
376	2978	4922
377	2987	4916
378	2996	4909
379	3005	4903
380	3014	4897
381	3021	4888
382	3031	4883
383	3039	4875
384	3048	4870
385	3057	4862
386	3065	4856
387	3074	4849
388	3083	4843
389	3092	4836
390	3100	4829
391	3109	4822
392	3118	4815
393	3126	4809
394	3135	4802
395	3144	4796
396	3153	4789
397	3161	4782
398	3170	4774
399	3178	4768
400	3187	4761
401	3196	4754
402	3205	4748
403	3215	4742
404	3223	4735
405	3232	4728
406	3240	4721
407	3249	4714
408	3257	4707
409	3266	4699
410	3274	4693
411	3282	4685
412	3291	4677
413	3300	4671
414	3308	4663
415	3316	4656
416	3325	4649
417	3334	4643
418	3343	4635
419	3351	4627
420	3359	4620
421	3368	4614
422	3377	4607
423	3386	4599
424	3394	4592
425	3402	4584
426	3411	4578
427	3420	4571
428	3427	4562
429	3435	4553
430	3443	4545
431	3450	4537
432	3459	4530
433	3467	4521
434	3474	4512
435	3482	4505
436	3490	4497
437	3497	4487
438	3504	4478
439	3512	4470
440	3520	4462
441	3527	4453
442	3535	4444
443	3542	4435
444	3550	4428
445	3558	4419
446	3566	4412
447	3574	4403
448	3581	4395
449	3589	4386
450	3597	4379
451	3605	4371
452	3613	4363
453	3623	4357
454	3631	4350
455	3639	4341
456	3646	4332
457	3653	4323
458	3660	4314
459	3668	4306
460	3674	4296
461	3682	4287
462	3689	4278
463	3696	4270
464	3704	4261
465	3711	4253
466	3718	4244
467	3726	4235
468	3733	4226
469	3740	4218
470	3748	4209
471	3755	4200
472	3762	4192
473	3770	4184
