iter	RMSE
0	9.170615613
1	8.965640976
2	8.772760012
3	8.589277817
4	8.556701893
5	8.364362782
6	8.167042208
7	8.032639778
8	8.032639777
9	8.011967582
10	8.011967581
11	7.838863254
12	7.676999313
13	7.627702681
14	7.467565656
15	7.333815429
16	7.168058125
17	7.033117524
18	7.033117519
19	6.879976275
20	6.761157882
21	6.761157875
22	6.614169386
23	6.49585827
24	6.495858263
25	6.382841741
26	6.26933806
27	6.16372781
28	6.062126458
29	5.970887611
30	5.970887599
31	5.864111919
32	5.767506401
33	5.666115522
34	5.66611551
35	5.666115498
36	5.666115488
37	5.602714605
38	5.524730069
39	5.450264486
40	5.37773188
41	5.368362444
42	5.294542783
43	5.240710482
44	5.186046034
45	5.166150723
46	5.16615071
47	5.098693717
48	5.098693705
49	5.098693694
50	5.043225351
51	4.989368875
52	4.950952385
53	4.908428953
54	4.894511089
55	4.845400958
56	4.831543276
57	4.772902706
58	4.734202131
59	4.688398074
60	4.662873206
61	4.635655706
62	4.601396513
63	4.601396504
64	4.554822297
65	4.554822287
66	4.525343271
67	4.525343263
68	4.497836558
69	4.478263461
70	4.448715823
71	4.426890809
72	4.424984023
73	4.397807102
74	4.397807096
75	4.397807092
76	4.377335137
77	4.344972938
78	4.323198699
79	4.293032952
80	4.277044694
81	4.261255373
82	4.246921363
83	4.231270408
84	4.218203375
85	4.200465484
86	4.200465479
87	4.181739589
88	4.159932383
89	4.144627657
90	4.142484217
91	4.142484213
92	4.130075642
93	4.130075638
94	4.120232733
95	4.10343172
96	4.101239353
97	4.100516267
98	4.100516265
99	4.100516263
100	4.088576458
101	4.067527019
102	4.067527016
103	4.059338602
104	4.045655512
105	4.034431973
106	4.034431971
107	4.018147775
108	4.018147773
109	4.005185056
110	3.994935406
111	3.989085434
112	3.989085433
113	3.981550394
114	3.967311291
115	3.96731129
116	3.965159472
117	3.957517842
118	3.952493622
119	3.952493621
120	3.949062068
121	3.944165184
122	3.942829741
123	3.936624075
124	3.933807202
125	3.925672057
126	3.924935448
127	3.92304472
128	3.912193933
129	3.90723345
130	3.902471392
131	3.897937728
132	3.893227102
133	3.883553647
134	3.87723162
135	3.868517638
136	3.865924614
137	3.860949034
138	3.857246332
139	3.852369998
140	3.85051735
141	3.849270482
142	3.846756473
143	3.8416173
144	3.834986701
145	3.829184648
146	3.826474406
147	3.825922565
148	3.821280818
149	3.820419298
150	3.819816085
151	3.809432982
152	3.806343328
153	3.806343327
154	3.806343327
155	3.806343327
156	3.806066787
157	3.801208889
158	3.801208889
159	3.801208889
160	3.794172266
161	3.793831302
162	3.791063901
163	3.787987873
164	3.783168661
165	3.779618352
166	3.775971657
167	3.775965378
168	3.773473011
169	3.773473011
170	3.772761243
171	3.772761243
172	3.772761243
173	3.772761243
174	3.772761243
175	3.768297293
176	3.765365524
177	3.761309011
178	3.754783765
179	3.748229667
180	3.748054843
181	3.748054843
182	3.743078212
183	3.740710317
184	3.740710317
185	3.734613082
186	3.72943568
187	3.72542879
188	3.723692346
189	3.717628129
190	3.714717436
191	3.713406181
192	3.710594275
193	3.705552199
194	3.701102577
195	3.701102577
196	3.701102577
197	3.701102577
198	3.698083658
199	3.69787491
200	3.69233967
201	3.69233967
202	3.688430806
203	3.681478009
204	3.67936998
205	3.679348009
206	3.679348009
207	3.679348009
208	3.677673143
209	3.677553202
210	3.676126288
211	3.674619844
212	3.669960277
213	3.667045195
214	3.666903481
215	3.663394374
216	3.660163674
217	3.658966921
218	3.65786134
219	3.65786134
220	3.653529754
221	3.653529754
222	3.650844539
223	3.64439785
224	3.640529452
225	3.63616548
226	3.633552103
227	3.633552103
228	3.630332333
229	3.630332333
230	3.630332333
231	3.626851031
232	3.626751372
233	3.62430146
234	3.623816166
235	3.623816166
236	3.620641549
237	3.620000127
238	3.619987754
239	3.619987754
240	3.618358731
241	3.614937964
242	3.614829973
243	3.610363533
244	3.610363533
245	3.610363533
246	3.610140165
247	3.610133925
248	3.604990953
249	3.603719442
250	3.601432941
251	3.598867388
252	3.595203748
253	3.59511846
254	3.591250629
255	3.591250629
