iter	Passed	Remaining
0	100	57914
1	239	68848
2	298	57127
3	406	58207
4	417	47750
5	520	49549
6	626	50998
7	742	52819
8	745	47072
9	754	42793
10	758	39010
11	896	42187
12	1019	44240
13	1051	42296
14	1176	44075
15	1276	44741
16	1386	45675
17	1512	46966
18	1515	44509
19	1636	45585
20	1751	46362
21	1754	44253
22	1863	44882
23	1962	45221
24	1966	43424
25	2064	43747
26	2182	44448
27	2272	44547
28	2380	44989
29	2505	45688
30	2509	44191
31	2617	44574
32	2748	45303
33	2849	45514
34	2853	44184
35	2856	42928
36	2859	41738
37	2981	42294
38	3089	42615
39	3199	42949
40	3333	43580
41	3340	42554
42	3459	42957
43	3579	43365
44	3677	43474
45	3690	42600
46	3693	41655
47	3818	42080
48	3821	41181
49	3825	40317
50	3950	40745
51	4078	41180
52	4217	41701
53	4350	42139
54	4359	41378
55	4469	41580
56	4477	40843
57	4591	41089
58	4710	41360
59	4829	41610
60	4950	41872
61	5075	42158
62	5184	42298
63	5187	41584
64	5310	41827
65	5313	41142
66	5448	41472
67	5452	40816
68	5583	41108
69	5697	41262
70	5820	41480
71	5951	41743
72	5959	41145
73	6101	41474
74	6105	40865
75	6109	40275
76	6237	40503
77	6361	40697
78	6481	40859
79	6591	40949
80	6684	40930
81	6789	40983
82	6910	41131
83	7039	41313
84	7151	41396
85	7267	41490
86	7270	40950
87	7385	41040
88	7515	41210
89	7613	41196
90	7620	40696
91	7623	40189
92	7741	40287
93	7744	39793
94	7850	39832
95	7979	39981
96	7991	39546
97	7998	39096
98	8002	38636
99	8005	38185
100	8114	38240
101	8247	38407
102	8250	37969
103	8356	38007
104	8459	38025
105	8582	38134
106	8585	37711
107	8690	37739
108	8693	37326
109	8802	37372
110	8908	37400
111	9026	37476
112	9030	37080
113	9145	37144
114	9267	37231
115	9270	36844
116	9286	36510
117	9401	36568
118	9523	36654
119	9527	36283
120	9549	35988
121	9661	36033
122	9669	35689
123	9791	35768
124	9895	35782
125	9993	35770
126	10005	35453
127	10115	35481
128	10235	35546
129	10344	35569
130	10441	35548
131	10545	35550
132	10654	35568
133	10745	35525
134	10855	35542
135	10967	35564
136	11095	35634
137	11237	35747
138	11357	35787
139	11476	35824
140	11602	35878
141	11620	35597
142	11742	35636
143	11861	35667
144	11996	35742
145	12116	35767
146	12232	35781
147	12256	35527
148	12373	35542
149	12397	35291
150	12425	35053
151	12553	35101
152	12679	35138
153	12684	34840
154	12687	34543
155	12691	34250
156	12700	33975
157	12823	34005
158	12826	33720
159	12830	33438
160	12959	33484
161	12971	33230
162	13075	33209
163	13195	33231
164	13318	33255
165	13433	33260
166	13547	33260
167	13555	33000
168	13678	33022
169	13682	32756
170	13700	32529
171	13704	32268
172	13707	32011
173	13711	31756
174	13715	31505
175	13817	31483
176	13923	31465
177	14065	31529
178	14207	31589
179	14317	31577
180	14326	31343
181	14329	31099
182	14456	31124
183	14560	31098
184	14563	30859
185	14688	30876
186	14792	30851
187	14903	30837
188	14990	30774
189	15119	30796
190	15231	30781
191	15365	30811
192	15510	30861
193	15634	30866
194	15763	30881
195	15767	30650
196	15771	30422
197	15775	30197
198	15924	30249
199	15965	30095
200	16093	30104
201	16096	29882
202	16257	29952
203	16398	29983
204	16518	29975
205	16523	29757
206	16527	29541
207	16531	29327
208	16665	29343
209	16674	29141
210	16817	29172
211	16962	29203
212	17115	29248
213	17246	29254
214	17267	29072
215	17378	29045
216	17499	29030
217	17647	29061
218	17795	29090
219	17799	28884
220	17917	28862
221	17933	28676
222	18099	28731
223	18232	28732
224	18368	28736
225	18509	28747
226	18660	28771
227	18663	28568
228	18807	28581
229	18816	28388
230	18820	28190
231	18945	28173
232	18960	27992
233	19078	27964
234	19208	27954
235	19213	27761
236	19336	27740
237	19458	27716
238	19467	27532
239	19471	27341
240	19635	27375
241	19759	27353
242	19783	27192
243	19900	27159
244	19904	26972
245	19908	26787
246	19937	26637
247	19950	26466
248	20070	26437
249	20196	26416
250	20317	26388
251	20446	26369
252	20574	26348
253	20593	26188
254	20737	26186
255	20741	26007
256	20872	25988
257	21010	25978
258	21139	25954
259	21142	25777
260	21146	25602
261	21150	25428
262	21280	25406
263	21397	25368
264	21522	25339
265	21612	25269
266	21616	25097
267	21620	24927
268	21731	24882
269	21735	24713
270	21858	24681
271	21984	24652
272	22112	24623
273	22116	24457
274	22255	24440
275	22404	24433
276	22549	24422
277	22700	24414
278	22835	24390
279	22859	24247
280	22983	24209
281	23109	24174
282	23231	24134
283	23234	23971
284	23238	23809
285	23361	23770
286	23513	23759
287	23654	23737
288	23782	23700
289	23913	23666
290	24047	23634
291	24165	23586
292	24178	23435
293	24301	23392
294	24432	23356
295	24551	23307
296	24678	23265
297	24681	23108
298	24831	23087
299	24957	23044
300	25065	22983
301	25200	22947
302	25203	22791
303	25338	22754
304	25350	22607
305	25455	22544
306	25612	22526
307	25742	22482
308	25870	22437
309	26007	22399
310	26010	22247
311	26131	22195
312	26278	22164
313	26282	22013
314	26421	21975
315	26551	21930
316	26555	21780
317	26572	21642
318	26580	21497
319	26703	21445
320	26837	21403
321	26841	21256
322	26944	21188
323	27084	21149
324	27243	21123
325	27367	21071
326	27482	21011
327	27605	20956
328	27763	20928
329	27906	20887
330	27920	20750
331	27934	20613
332	28062	20562
333	28185	20506
334	28337	20470
335	28439	20398
336	28443	20256
337	28576	20206
338	28704	20152
339	28849	20110
340	29005	20073
341	29125	20013
342	29243	19950
343	29354	19882
344	29489	19830
345	29633	19784
346	29735	19709
347	29876	19660
348	29998	19598
349	30134	19544
350	30276	19494
351	30406	19435
352	30539	19379
353	30689	19332
354	30816	19271
355	30941	19207
356	30954	19075
357	31091	19019
358	31098	18884
359	31218	18818
360	31222	18681
361	31234	18550
362	31237	18415
363	31364	18353
364	31479	18284
365	31628	18233
366	31753	18169
367	31900	18117
368	32013	18045
369	32021	17914
370	32143	17847
371	32253	17774
372	32390	17714
373	32530	17656
374	32533	17524
375	32557	17404
376	32693	17344
377	32836	17287
378	32967	17223
379	33117	17168
380	33259	17109
381	33389	17044
382	33515	16976
383	33673	16924
384	33844	16878
385	33974	16811
386	34114	16748
387	34265	16691
388	34372	16611
389	34517	16550
390	34666	16490
391	34814	16430
392	34819	16302
393	34974	16244
394	34983	16119
395	35131	16057
396	35279	15995
397	35441	15939
398	35583	15874
399	35745	15817
400	35751	15691
401	35889	15623
402	35899	15500
403	36040	15433
404	36222	15383
405	36411	15335
406	36561	15271
407	36572	15148
408	36711	15079
409	36820	14997
410	36965	14930
411	37112	14863
412	37117	14739
413	37258	14669
414	37428	14610
415	37432	14487
416	37564	14413
417	37694	14338
418	37848	14272
419	37988	14200
420	38137	14131
421	38230	14042
422	38347	13960
423	38521	13900
424	38670	13830
425	38830	13763
426	38834	13642
427	38979	13569
428	38993	13452
429	39123	13374
430	39258	13298
431	39398	13223
432	39571	13160
433	39585	13043
434	39594	12924
435	39727	12847
436	39759	12737
437	39763	12618
438	39767	12500
439	39770	12383
440	39882	12299
441	39887	12182
442	40010	12102
443	40140	12024
444	40264	11943
445	40269	11827
446	40272	11712
447	40416	11637
448	40556	11561
449	40688	11483
450	40813	11402
451	40817	11288
452	40971	11215
453	41129	11142
454	41256	11062
455	41403	10986
456	41559	10912
457	41680	10829
458	41684	10716
459	41833	10640
460	41980	10563
461	42120	10484
462	42124	10371
463	42265	10293
464	42273	10182
465	42414	10102
466	42417	9991
467	42556	9911
468	42700	9832
469	42837	9752
470	42967	9669
471	43107	9589
472	43111	9479
473	43241	9396
474	43360	9311
475	43489	9227
476	43492	9118
477	43618	9033
478	43752	8951
479	43880	8867
480	44006	8783
481	44122	8696
482	44126	8587
483	44130	8479
484	44134	8371
485	44281	8291
486	44410	8207
487	44414	8100
